	EmployerName	Address	CompanyNumber	SicCodes	DiffMeanHourlyPercent	DiffMedianHourlyPercent	DiffMeanBonusPercent	DiffMedianBonusPercent	MaleBonusPercent	FemaleBonusPercent	MaleLowerQuartile	FemaleLowerQuartile	MaleLowerMiddleQuartile	FemaleLowerMiddleQuartile	MaleUpperMiddleQuartile	FemaleUpperMiddleQuartile	MaleTopQuartile	FemaleTopQuartile	CompanyLinkToGPGInfo	ResponsiblePerson	EmployerSize	CurrentName	SubmittedAfterTheDeadline	DueDate	DateSubmitted
1710	MCE INSURANCE LIMITED	"Sapphire House,
Crown Way,
Rushden,
Northamptonshire,
United Kingdom,
NN10 6FB"	01232753	65120	12.4	0.0	-0.9	25.8	25.8	41.6	68.2	31.8	41.8	58.2	39.1	60.9	59.4	40.6		Nicholas Roberts (Head of People)	250 to 499	MCE INSURANCE LIMITED	False	05/04/2019 00:00:00	11/03/2019 13:45:53
1717	MEAD MEDICAL SERVICES LIMITED	"Commercial House,
2 Rubislaw Terrace,
Aberdeen,
Aberdeenshire,
United Kingdom,
AB10 1XE"	SC103385	"86210,
86900"	-5.5	0.0	0.0	0.0	0.0	0.0	14.3	85.7	8.2	91.8	20.4	79.6	10.2	89.8		gavin kerr (management accountant)	250 to 499	MEAD MEDICAL SERVICES LIMITED	False	05/04/2019 00:00:00	30/11/2018 16:38:49
1722	MEDILINE SUPPORTED LIVING LIMITED	"3rd Floor Butt Dyke House,
33 Park Row,
Nottingham,
England,
NG1 6EE"	02071750	"87200,
87300,
88990"	-2.4	0.0	-130.4	0.0	1.6	3.8	31.2	68.8	36.9	63.1	33.6	66.4	34.3	65.7		Chris Murray (Director)	500 to 999	MEDILINE SUPPORTED LIVING LIMITED	False	05/04/2019 00:00:00	18/01/2019 15:52:48
1746	MICHA DESIGN COMPANY LIMITED(THE)	"Unit 1, Bridgegate Business Park,
Gatehouse Way,
Aylesbury,
Buckinghamshire,
HP19 8XN"	02072488	27900	0.0	0.0	0.0	0.0	100.0	100.0	50.0	50.0	50.0	50.0	50.0	50.0	66.0	34.0		Spencer Cocomazzi (General Manager)	Less than 250	MICHA DESIGN COMPANY LIMITED(THE)	False	05/04/2019 00:00:00	11/04/2018 13:06:26
1753	Mid Devon District Council	"Phoenix House,
Phoenix Lane,
Tiverton,
EX166PP"		"1,
84110"	2.1	0.0	0.0	0.0	0.0	0.0	32.0	68.0	54.0	46.0	44.0	56.0	40.0	60.0	https://www.middevon.gov.uk/		500 to 999	Mid Devon District Council	False	31/03/2019 00:00:00	04/02/2019 09:50:54
1762	MIDWAY CARE GROUP LIMITED	"Windsor House,
Bayshill Road,
Cheltenham,
Gloucestershire,
England,
GL50 3AT"	07209472	64209	1.0	0.0	-328.0	-300.0	4.0	12.0	22.0	78.0	43.0	57.0	43.0	57.0	39.0	61.0	http://www.midwaycaregroup.co.uk/	Ian Brown (Finance Director)	250 to 499	MIDWAY CARE GROUP LIMITED	False	05/04/2019 00:00:00	14/03/2019 17:13:50
1763	MILESTONE RESTAURANTS LIMITED	"Dickens House,
Guithavon Street,
Witham,
Essex,
United Kingdom,
CM8 1BJ"	06741079	56101	4.0	0.0	87.0	83.0	3.0	2.0	47.0	53.0	38.0	62.0	39.0	61.0	48.0	52.0		Taimoor Sheikh (Director)	250 to 499	MILESTONE RESTAURANTS LIMITED	False	05/04/2019 00:00:00	07/03/2019 10:37:32
1772	MINDS MATTER (TRADING ACTIVITIES) LIMITED	"Granta House,
15-19 Broadway,
Stratford,
London,
United Kingdom,
E15 4BQ"	01005048	47799	9.6	0.0	0.0	0.0	0.0	0.0	17.3	82.7	18.9	81.1	18.2	81.8	17.1	82.9		James Glover (Head of HR & OD)	250 to 499	MINDS MATTER (TRADING ACTIVITIES) LIMITED	False	05/04/2019 00:00:00	13/03/2019 16:05:01
1783	Mirus-Wales	"5 Cleeve House,
Lambourne Crescent,
Llanishen,
Cardiff,
United Kingdom,
CF14 5GP"	01966665	87200	-4.0	0.0	-19.5	0.0	29.0	34.5	38.0	62.0	32.0	68.0	37.0	63.0	36.0	64.0		Kay Williams (HR Director)	500 to 999	Mirus-Wales	False	05/04/2019 00:00:00	05/03/2019 09:59:23
1786	MITCHELL STEPHENSON LIMITED	"5, Churchill Court,
Hortons Way,
Westerham,
Kent,
TN16 1BT"	04276438	82990	-1.5	0.0	0.0	0.0	0.0	0.0	10.0	90.0	10.0	90.0	10.0	90.0	0.0	100.0	https://mitchellstephenson.com/	Sasha Johnston (Director)	250 to 499	MITCHELL STEPHENSON LIMITED	False	05/04/2019 00:00:00	26/02/2019 10:38:23
