,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Code,Area,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
E09000032,Wandsworth,416.5,5.8,448.9,5.4,460.0,6.6,473.6,6.1,471.4,5.4,475.3,6.3,486.3,6.1,525.1,5.2,538.2,6.3,536.4,5.5,580.0,6.2,591.8,7.8,627.6,4.8,649.4,6.1,618.8,5.4,630.8,5.2,625.5,5.6,638.6,4.0,654.2,5.0,683.7,5.5,704.9,5.6
E09000033,Westminster,492.6,3.3,515.6,3.3,537.3,3.1,561.5,3.1,576.7,3.1,602.7,3.6,610.2,3.2,661.0,3.3,670.8,2.6,672.2,3.0,698.8,2.1,735.0,2.6,766.6,2.6,766.6,2.5,766.6,2.7,764.1,2.1,751.2,2.7,748.5,2.7,766.6,3.1,763.0,2.8,818.1,3.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,332.5,1.8,346.0,2.0,349.9,1.8,365.3,2.3,376.1,1.8,385.8,1.9,392.3,2.0,411.3,2.0,423.9,1.7,440.8,1.9,440.0,1.7,463.7,1.9,476.7,1.9,485.6,1.8,486.8,1.9,490.2,1.9,507.9,1.8,520.9,1.8,525.8,1.6,528.7,1.6,545.1,1.7
E12000002,North West,346.7,0.9,357.9,1.0,371.3,1.2,379.7,1.0,392.6,1.1,406.5,0.9,419.3,1.0,438.0,1.1,445.6,1.1,459.3,1.0,479.1,1.2,490.4,1.2,497.5,1.1,500.0,1.2,498.7,1.0,504.7,1.2,517.5,1.1,517.7,1.0,524.7,1.1,542.7,1.0,550.1,1.0
E12000003,Yorkshire and The Humber,330.6,1.1,345.5,1.1,357.1,1.1,373.6,1.1,381.0,1.3,395.1,1.2,411.8,1.2,426.0,1.2,434.5,1.1,448.8,1.2,464.0,1.4,485.3,1.2,488.3,1.0,495.8,1.1,498.3,1.2,500.7,1.3,518.2,1.2,517.2,1.2,527.0,1.1,540.9,1.3,543.5,1.1
E12000004,East Midlands,337.0,1.3,344.7,1.2,357.5,1.1,364.3,1.3,382.7,1.3,398.3,1.1,417.5,1.3,428.3,1.3,447.8,1.3,461.7,1.1,464.4,1.3,489.8,1.2,499.5,1.2,507.5,1.3,498.0,1.2,508.1,1.3,515.9,1.3,520.2,1.2,525.6,1.1,528.5,1.2,545.9,1.2
E12000005,West Midlands,340.6,1.0,358.8,1.0,364.8,1.0,374.3,1.0,395.0,1.2,404.6,1.1,414.8,1.0,428.8,1.2,440.7,1.2,453.2,1.1,465.7,1.1,488.7,1.1,492.8,1.1,502.1,1.0,501.6,1.0,508.1,1.1,528.1,1.0,518.9,1.2,535.8,1.2,557.4,1.2,562.0,1.1
E12000006,East,361.0,1.1,371.9,1.1,384.6,1.1,397.6,1.1,422.6,1.3,438.7,1.3,452.3,1.2,462.5,1.2,476.1,1.0,486.8,1.1,498.2,1.2,513.7,1.3,523.8,1.2,535.1,1.1,533.1,0.9,538.5,1.1,551.6,1.2,548.1,1.1,557.6,1.0,574.9,1.1,587.5,1.0
E12000007,London,445.5,0.8,468.2,0.9,480.3,0.8,507.3,0.8,531.3,0.8,551.4,0.8,575.8,0.7,593.2,1.0,621.1,0.9,626.2,1.0,648.7,1.0,677.8,0.7,689.8,0.8,698.5,0.7,706.6,0.9,706.8,0.9,715.2,0.9,713.9,0.9,715.5,0.9,731.8,0.8,766.6,0.8
