,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Code,Area,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
E09000027,Richmond upon Thames,309.1,11.0,349.9,9.5,353.6,9.7,385.6,8.2,399.9,8.0,402.7,11.0,430.5,8.8,464.0,7.5,472.3,7.3,536.9,7.8,499.1,10.0,535.6,8.2,525.0,8.2,580.0,6.5,565.1,8.5,574.9,7.7,513.7,7.1,522.5,7.1,565.9,5.0,542.3,5.9,542.4,5.7
E09000028,Southwark,346.3,5.2,365.8,5.3,375.1,4.6,413.1,4.9,450.6,5.2,507.9,4.6,500.6,4.7,471.5,5.4,505.1,5.6,544.7,4.5,547.1,4.3,557.8,4.2,596.7,5.2,612.0,3.9,587.9,4.8,617.8,4.2,613.2,3.0,605.8,3.4,650.3,3.5,633.0,3.9,659.2,3.5
E09000029,Sutton,311.8,12.0,331.5,9.0,361.2,10.0,328.4,10.0,345.5,8.1,354.0,8.5,391.4,7.5,394.4,9.5,420.5,9.8,450.7,9.4,466.9,6.8,440.9,9.2,481.0,7.0,513.8,7.1,498.0,7.2,521.5,7.6,504.0,7.7,504.3,7.0,491.3,6.4,526.2,7.5,571.7,8.4
E09000030,Tower Hamlets,403.6,5.2,429.5,4.7,447.1,4.6,476.1,5.2,510.9,4.6,527.9,4.8,567.7,4.2,607.6,4.2,633.0,3.6,625.4,4.5,670.8,4.2,680.4,4.4,711.5,4.2,714.9,4.2,721.5,3.2,747.4,3.2,758.9,3.8,764.2,4.8,711.4,4.1,709.1,4.8,734.3,4.5
E09000031,Waltham Forest,283.3,9.5,325.2,8.8,336.1,7.8,351.6,11.0,354.9,11.0,383.8,9.5,401.2,12.0,424.4,12.0,444.1,11.0,387.5,10.0,435.5,8.6,434.0,13.0,465.9,13.0,553.1,10.0,515.6,10.0,472.7,14.0,482.7,13.0,493.9,14.0,492.2,11.0,465.9,11.0,493.8,7.7
E09000032,Wandsworth,309.0,6.1,316.8,6.2,325.8,6.1,367.5,7.2,355.1,8.4,431.5,7.0,448.8,4.4,450.1,7.1,470.2,4.4,510.3,5.9,507.3,7.0,531.5,7.1,546.2,6.6,563.7,5.5,593.6,5.0,520.5,5.7,515.3,5.3,522.7,7.1,527.9,4.2,561.1,5.3,563.0,4.7
E09000033,Westminster,379.0,2.2,383.9,2.4,402.0,2.4,412.4,2.3,451.3,2.3,479.9,2.5,480.3,2.3,509.1,2.5,513.8,2.3,526.5,2.4,555.9,2.5,561.9,2.9,574.9,2.3,609.8,2.1,596.6,2.1,603.8,2.1,613.3,2.1,625.7,2.1,631.7,2.6,646.3,1.9,670.8,2.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,240.0,2.5,240.2,2.2,251.9,2.4,263.3,2.4,270.4,2.3,282.9,2.3,293.9,2.1,317.0,2.3,330.1,2.0,339.3,2.0,350.8,2.0,364.7,2.1,385.2,1.8,400.2,2.1,408.9,1.9,406.9,1.7,416.7,2.0,422.0,1.6,436.5,1.9,438.7,2.0,452.3,1.9
E12000002,North West,250.3,1.5,258.1,1.6,267.8,1.3,276.6,1.5,292.9,1.4,311.0,1.5,322.1,1.5,332.0,1.3,350.0,1.4,358.5,1.2,373.7,1.4,392.1,1.2,406.2,1.2,417.8,1.1,412.4,1.3,419.6,1.1,432.9,1.3,437.9,1.4,441.9,1.2,457.0,1.1,464.6,1.2
E12000003,Yorkshire and The Humber,239.4,1.8,250.6,1.8,263.0,1.6,269.0,1.7,284.8,1.6,298.4,1.6,314.4,1.6,327.0,1.6,338.4,1.6,350.0,1.6,354.8,1.6,373.0,1.6,395.3,1.3,404.5,1.4,402.9,1.4,412.0,1.2,415.2,1.2,418.2,1.1,427.4,1.3,435.0,1.3,442.7,1.4
E12000004,East Midlands,237.8,2.0,242.4,2.0,256.4,1.9,266.0,2.0,278.3,1.9,290.1,1.9,306.8,1.8,315.2,1.8,334.8,1.5,347.8,1.4,354.7,1.9,375.4,1.9,387.4,1.5,393.0,1.5,394.4,1.6,402.5,1.7,407.6,1.5,412.0,1.3,412.0,1.3,421.6,1.3,430.4,1.2
E12000005,West Midlands,242.8,1.5,257.3,1.4,267.9,1.4,278.3,1.5,294.5,1.5,303.8,1.3,311.3,1.4,329.1,1.6,345.0,1.5,354.8,1.4,373.3,1.5,379.8,1.4,393.2,1.3,399.8,1.5,402.4,1.5,408.6,1.2,416.8,1.4,420.0,1.2,429.6,1.2,440.8,1.2,451.4,1.4
E12000006,East,266.4,1.5,277.9,1.7,287.9,1.6,293.0,1.4,308.7,1.5,323.6,1.6,336.5,1.5,346.4,1.6,355.4,1.4,369.5,1.5,383.3,1.9,400.1,1.7,408.6,1.4,424.5,1.5,421.6,1.5,425.8,1.4,440.8,1.2,443.0,1.4,452.9,1.4,466.0,1.3,478.4,1.1
E12000007,London,348.2,0.9,364.6,0.9,379.6,0.8,393.5,1.0,422.3,1.0,443.4,1.1,460.7,1.0,475.9,0.9,490.9,0.9,507.9,0.9,520.9,1.0,541.4,1.0,565.2,0.9,582.1,0.7,580.4,0.7,591.4,0.9,592.8,0.8,594.1,0.8,595.2,0.9,609.0,0.9,622.9,0.8
E12000008,South East,275.5,1.2,287.1,0.9,301.3,1.0,313.7,1.0,328.3,1.0,351.0,0.9,363.0,1.1,376.6,1.1,383.3,0.9,394.4,1.0,408.5,1.0,422.9,1.2,438.3,1.3,444.9,1.1,451.4,1.0,460.9,1.1,465.6,1.1,473.7,1.0,484.0,1.0,497.0,1.1,504.0,1.1
E12000009,South West,241.7,1.4,253.4,1.3,260.9,1.4,273.1,1.3,288.1,1.6,300.0,1.3,314.1,1.4,329.4,1.5,339.2,1.3,354.2,1.4,364.1,1.6,379.4,1.6,385.9,1.2,399.9,1.5,402.5,1.6,412.0,1.2,419.3,1.1,424.3,1.4,435.3,1.4,442.1,1.4,459.8,1.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N92000002,Northern Ireland,240.0,2.9,249.5,3.1,267.9,3.5,274.8,3.2,290.3,3.0,300.0,3.5,309.1,3.1,332.2,3.6,353.5,3.4,374.2,3.0,367.7,2.8,385.2,2.9,402.6,2.7,409.4,2.9,417.9,2.5,440.0,2.4,446.5,2.5,444.3,2.6,459.9,2.6,472.7,2.9,482.4,2.4
S92000003,Scotland,247.0,1.6,256.9,1.4,274.6,1.4,280.9,1.7,296.7,1.5,311.0,1.9,326.0,1.3,341.6,1.7,360.0,1.4,372.6,1.5,381.5,1.5,401.1,1.4,420.3,1.4,430.5,1.3,435.4,1.5,438.0,1.6,453.5,1.6,460.9,1.4,475.0,1.3,482.4,1.4,498.3,1.3
W92000004,Wales,244.5,2.4,251.2,2.1,263.4,2.1,276.2,2.1,282.1,2.4,290.5,2.2,303.8,2.0,320.5,2.3,334.8,2.2,346.7,1.8,355.6,2.1,369.2,2.1,383.3,1.8,401.2,2.2,398.2,1.8,403.9,1.9,421.9,2.0,422.0,1.9,427.8,1.9,447.8,2.0,457.6,2.0
E92000001,England,269.2,0.5,280.5,0.4,291.6,0.5,302.8,0.5,319.3,0.4,335.9,0.4,346.3,0.3,360.8,0.5,374.2,0.3,386.1,0.4,400.0,0.4,417.3,0.5,430.8,0.5,442.5,0.4,442.3,0.4,452.8,0.4,460.0,0.3,465.3,0.5,472.9,0.4,482.7,0.4,496.4,0.4
K04000001,England and Wales,268.6,0.5,279.3,0.4,291.1,0.5,301.3,0.5,317.3,0.4,333.2,0.4,345.5,0.3,358.4,0.4,372.7,0.4,383.9,0.3,397.5,0.5,414.6,0.4,426.9,0.4,440.8,0.4,440.8,0.4,450.4,0.4,460.0,0.3,462.3,0.4,470.0,0.4,480.5,0.3,493.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K03000001,Great Britain,266.1,0.4,277.2,0.4,289.3,0.4,298.9,0.4,315.4,0.4,331.4,0.4,344,0.4,356.7,0.4,372,0.4,383.3,0.3,395.6,0.4,413.2,0.4,426.5,0.4,439.8,0.3,440.4,0.3,449.3,0.3,459.5,0.3,462.2,0.3,470.6,0.4,480.8,0.3,494.0,0.4
K02000001,United Kingdom,265.2,0.4,276.5,0.4,288.5,0.3,298.1,0.4,314.3,0.4,330.7,0.4,343,0.4,356.7,0.4,371.4,0.4,383.3,0.3,394.8,0.4,412.4,0.4,425.8,0.4,439.0,0.3,440.0,0.3,448.9,0.3,458.9,0.3,461.5,0.3,470.2,0.4,480.5,0.3,493.6,0.4
