,,1997,,1998,,1999,,2000,,2001,,2002,,2003,,2004,,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Code,Area,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %,number,conf %
E09000027,Richmond upon Thames,355.9,6.7,387.7,5.7,403.2,5.4,425.1,7.4,433.3,5.0,479.2,7.4,484.7,6.2,518.2,6.2,489.3,4.5,546.1,5.0,574.4,6.0,591.3,5.5,577.5,6.0,613.2,5.0,574.9,6.3,581.5,5.9,589.3,5.5,579.0,6.7,603.9,4.5,602.8,6.7,613.2,4.8
E09000028,Southwark,403.8,3.2,413.7,3.4,440.1,4.0,479.5,3.5,574.2,2.6,590.2,2.2,609.8,3.0,562.6,3.9,574.1,3.0,594.1,3.0,598.1,3.5,599.5,3.3,639.3,2.9,650.6,3.4,662.4,3.1,683.1,3.3,678.3,2.8,666.9,2.7,684.6,2.4,695.7,2.9,709.4,3.1
E09000029,Sutton,392.3,6.7,364.4,7.1,408.7,5.8,387.5,7.4,417.6,7.0,441.8,6.3,456.1,4.5,464.5,4.9,477.1,5.3,500.1,5.3,490.0,4.0,500.8,5.1,498.6,4.0,518.4,4.8,496.6,4.5,518.2,4.6,561.1,4.5,504.9,4.3,551.7,4.6,538.2,5.5,564.0,4.6
E09000030,Tower Hamlets,454.3,3.2,491.4,3.8,513.8,2.9,547.0,3.9,597.6,4.1,591.8,4.2,652.6,3.7,707.9,3.7,727.6,4.5,721.1,2.8,767.7,2.8,811.7,3.0,833.2,2.6,819.8,3.5,862.4,3.3,841.9,2.9,887.1,2.9,897.5,3.2,862.4,4.1,847.0,3.1,904.1,3.2
E09000031,Waltham Forest,330.9,6.7,359.0,5.5,349.4,5.2,370.2,6.1,396.7,7.5,400.0,6.4,444.7,6.1,439.3,7.5,451.4,8.0,421.7,6.6,468.8,6.6,512.4,7.1,531.9,4.8,544.9,6.5,548.7,6.8,523.0,6.3,545.2,6.8,521.7,8.6,526.0,6.6,522.3,7.2,555.0,7.3
E09000032,Wandsworth,361.1,5.8,377.4,5.2,402.9,4.4,424.4,4.5,422.4,4.1,456.6,4.9,470.6,3.4,483.6,4.1,501.7,3.5,522.2,4.2,549.7,4.5,572.0,5.0,594.8,4.0,594.8,4.2,606.3,3.4,575.0,4.5,572.8,4.4,600.5,3.4,591.7,3.9,621.2,4.4,627.0,4.0
E09000033,Westminster,430.9,1.9,441.1,2.2,466.0,2.0,479.8,2.1,513.2,2.1,537.4,2.0,542.3,2.2,575.8,2.1,594.1,1.6,597.9,1.9,637.8,2.2,667.2,1.4,674.6,1.8,698.8,1.6,686.4,1.8,686.1,2.0,680.0,2.0,684.5,1.6,692.3,1.9,699.7,2.1,758.9,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,299.4,1.5,302.4,1.6,314.0,1.6,329.3,1.6,333.7,1.6,344.8,1.5,348.4,1.3,370.2,1.5,383.7,1.3,394.8,1.5,404.3,1.5,420.8,1.7,435.6,1.7,443.1,1.2,449.1,1.2,454.4,1.1,470.1,1.3,479.1,1.3,490.5,1.2,493.9,1.3,504.1,1.2
E12000002,North West,308.7,0.9,317.9,0.9,327.9,0.8,340.9,0.8,354.2,0.9,368.5,0.9,379.7,0.9,394.1,0.9,406.4,0.9,416.8,0.9,434.9,0.9,450.0,0.9,459.8,0.8,466.9,0.8,459.5,0.8,469.4,1.0,480.8,0.7,482.7,0.7,488.7,0.9,503.9,0.8,514.0,0.9
